Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Servine,Grass,Grass Snake Pokémon,0.8,16.0,1. OvergrowContrary (hidden ability),45,50,145,Medium Slow,"87.5% male, 12.5% female",60,60,75,60,75,83
Serperior,Grass,Regal Pokémon,3.3,63.0,1. OvergrowContrary (hidden ability),45,50,238,Medium Slow,"87.5% male, 12.5% female",75,75,95,75,95,113
Pansage,Grass,Grass Monkey Pokémon,0.6,10.5,1. GluttonyOvergrow (hidden ability),190,50,63,Medium Fast,"87.5% male, 12.5% female",50,53,48,53,48,64
Simisage,Grass,Thorn Monkey Pokémon,1.1,30.5,1. GluttonyOvergrow (hidden ability),75,50,174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Petilil,Grass,Bulb Pokémon,0.5,6.6,1. Chlorophyll2. Own TempoLeaf Guard (hidden ability),190,50,56,Medium Fast,"0% male, 100% female",45,35,50,70,50,30
Maractus,Grass,Cactus Pokémon,1.0,28.0,1. Water Absorb2. ChlorophyllStorm Drain (hidden ability),255,50,161,Medium Fast,"50% male, 50% female",75,86,67,106,67,60
Chespin,Grass,Spiny Nut Pokémon,0.4,9.0,1. OvergrowBulletproof (hidden ability),45,50,63,Medium Slow,"87.5% male, 12.5% female",56,61,65,48,45,38
Quilladin,Grass,Spiny Armor Pokémon,0.7,29.0,1. OvergrowBulletproof (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",61,78,95,56,58,57
Skiddo,Grass,Mount Pokémon,0.9,31.0,1. Sap SipperGrass Pelt (hidden ability),200,50,70,Medium Fast,"50% male, 50% female",66,65,48,62,57,52
Gogoat,Grass,Mount Pokémon,1.7,91.0,1. Sap SipperGrass Pelt (hidden ability),45,50,186,Medium Fast,"50% male, 50% female",123,100,62,97,81,68
Fomantis,Grass,Sickle Grass Pokémon,0.3,1.5,1. Leaf GuardContrary (hidden ability),190,50,50,Medium Fast,"50% male, 50% female",40,55,35,50,35,35
Lurantis,Grass,Bloom Sickle Pokémon,0.9,18.5,1. Leaf GuardContrary (hidden ability),75,50,168,Medium Fast,"50% male, 50% female",70,105,90,80,90,45
Bounsweet,Grass,Fruit Pokémon,0.3,3.2,1. Leaf Guard2. ObliviousSweet Veil (hidden ability),235,50,42,Medium Slow,"0% male, 100% female",42,30,38,30,38,32
Steenee,Grass,Fruit Pokémon,0.7,8.2,1. Leaf Guard2. ObliviousSweet Veil (hidden ability),120,50,102,Medium Slow,"0% male, 100% female",52,40,48,40,48,62
Tsareena,Grass,Fruit Pokémon,1.2,21.4,1. Leaf Guard2. Queenly MajestySweet Veil (hidden ability),45,50,255,Medium Slow,"0% male, 100% female",72,120,98,50,98,72
Grookey,Grass,Chimp Pokémon,0.3,5.0,1. OvergrowGrassy Surge (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",50,65,50,40,40,65
Thwackey,Grass,Beat Pokémon,0.7,14.0,1. OvergrowGrassy Surge (hidden ability),45,50,147,Medium Slow,"87.5% male, 12.5% female",70,85,70,55,60,80
Rillaboom,Grass,Drummer Pokémon,2.1,90.0,1. OvergrowGrassy Surge (hidden ability),45,50,265,Medium Slow,"87.5% male, 12.5% female",100,125,90,60,70,85
Gossifleur,Grass,Flowering Pokémon,0.4,2.2,1. Cotton Down2. RegeneratorEffect Spore (hidden ability),190,50,50,Medium Fast,"50% male, 50% female",40,40,60,40,60,10
Eldegoss,Grass,Cotton Bloom Pokémon,0.5,2.5,1. Cotton Down2. RegeneratorEffect Spore (hidden ability),75,50,161,Medium Fast,"50% male, 50% female",60,50,90,80,120,60
Sprigatito,Grass,Grass Cat Pokémon,0.4,4.1,1. OvergrowProtean (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",40,61,54,45,45,65
Floragato,Grass,Grass Cat Pokémon,0.9,12.2,1. OvergrowProtean (hidden ability),45,50,144,Medium Slow,"87.5% male, 12.5% female",61,80,63,60,63,83
Capsakid,Grass,Spicy Pepper Pokémon,0.3,3.0,1. Chlorophyll2. InsomniaKlutz (hidden ability),190,50,61,Medium Fast,"50% male, 50% female",50,62,40,62,40,50
